Unit,Primary_Emotion,Polarity,Mood,Personality
企足而待,1,P,,
企求,1,P,,
企,,0,,
任性,,N,,
仰觀,,0,,
仰慕,1,P,,
仰望,,P,,
仰天長歎,,N,,
仰天大笑,1,P,,
交戰,,N,,
交惡,4,N,,
交往,,0,,
丟醜,2,N,,
丟臉,2,N,,
丟棄,,N,,
丟面子,2,N,,
丟下,,N,,
丟人現眼,2,N,,
丟人,2,N,,
矛盾,,N,,
目瞪口呆,5,0,,
皮笑肉不笑,,N,,
白癡,4,N,,
白痴,4,N,,
白目,4,N,,
甲賽,4,N,,
用力,,0,,
生疑,4,N,,
生厭,4,N,,
生疏,2,N,,
生悶氣,4,N,,
生動,1,P,,
生病,2,N,,
生氣勃勃,1,P,,
生氣,4,N,,
生恐,3,N,,
生怕,3,N,,
生命力,1,P,,
甘願,1,P,,
甘當,1,P,,
甘於,1,P,,
甘心情願,1,P,,
甘心,1,P,,
犯賤,4,N,,
犯嘀咕,4,N,,
犯愁,2,N,,
民怨沸騰,4,N,,
正面,1,P,,
正中下懷,1,N,,
正,,0,,
末日,,N,,
未知,,0,,
打攪,,N,,
打斷,,N,,
打擾,,N,,
打擊,,N,,
打鼓,,0,,
打結,,N,,
打敗,,N,,
打情罵俏,1,P,,
打破,,0,,
打倒,,0,,
打架,4,N,,
打岔,,N,,
打仗,4,N,,
打,,0,,
平穩,1,P,,
平靜,1,P,,
平淡,1,P,,
平庸,1,0,,
平和,1,P,,
平安,1,P,,
平心靜氣,1,P,,
左右為難,,N,,
左支右絀,,N,,
奴顏婢膝,4,N,,
奴才,4,N,,
失魂落魄,2,N,,
失誤,,N,,
失落,2,N,,
失意,2,N,,
失望,2,N,,
失敗,2,N,,
失控,2,N,,
失笑,1,P,,
失眠,2,N,,
失色,2,N,,
失去,2,N,,
外傷,2,N,,
外行,,0,,
外向,1,P,,
可驚,5,0,,
可靠,1,P,,
可歎,2,N,,
可憐,2,N,,
可憎,4,N,,
可鄙,4,N,,
可愛,1,P,,
可意,1,P,,
可賀,1,P,,
可惡,4,N,,
可悲,2,N,,
可喜,1,P,,
可望而不可及,,N,,
可望,1,P,,
可惜,2,N,,
可笑,,N,,
可氣,4,N,,
可恥,4,N,,
可恨,4,N,,
可怕,3,N,,
可心,1,P,,
可口,1,P,,
叫苦連天,2,N,,
叫苦不迭,2,N,,
只怕,3,N,,
只求,,N,,
叨念,,N,,
另眼看待,,0,,
另眼相看,,0,,
古怪,,N,,
去死,4,N,,
半信半疑,4,N,,
北爛,4,N,,
北七,4,N,,
匆忙,,0,,
功勞,,N,,
出神,,P,,
出氣,4,N,,
出色,1,P,,
出乎意料,5,0,,
充沛,,P,,
以淚洗面,2,N,,
以為,,0,,
令人擔憂,2,N,,
令人髮指,4,N,,
令人滿意,2,P,,
令人鼓舞,1,P,,
令人羨慕,1,P,,
令人感動,1,P,,
令人堪憂,2,N,,
令人生畏,3,N,,
令人心悸,3,N,,
令人不安,3,N,,
付出,,P,,
付之一笑,1,P,,
他媽的,4,N,,
他馬的,4,N,,
他奶奶的,4,N,,
仔細,,P,,
乏味,,N,,
乏力,,N,,
乏,,N,,
世仇,4,N,,
王子病,4,N,,
王八蛋,4,N,,
王八,4,N,,
牛,4,N,,
火燒火燎,,N,,
火熱,,N,,
火冒三丈,4,N,,
火,,N,,
毛骨悚然,3,N,,
毛,,N,,
欠債,4,N,,
木雕泥塑,5,0,,
木然,5,0,,
方寸已亂,,N,,
文人相輕,4,N,,
支撐,,0,,
支配,,0,,
支持,,P,,
手舞足蹈,1,P,,
手殘,4,N,,
手足無措,3,N,,
手忙腳亂,3,N,,
心驚膽顫,3,N,,
心驚膽戰,3,N,,
心驚肉跳,3,N,,
心驚,3,N,,
心曠神怡,1,P,,
心膽俱裂,3,N,,
心靜,,P,,
心餘力絀,,N,,
心醉,1,P,,
心潮難平,1,P,,
心潮澎湃,1,P,,
心潮起伏,1,P,,
心酸,2,N,,
心滿意足,1,P,,
心碎,2,N,,
心煩意躁,4,N,,
心煩意亂,4,N,,
心煩,4,N,,
心慌意亂,3,N,,
心慌,3,N,,
心愛,1,P,,
心亂如麻,3,N,,
心虛,,N,,
心痛,2,N,,
心焦,3,N,,
心寒,2,N,,
心情,,0,,
心神不寧,3,N,,
心神不定,3,N,,
心神不安,3,N,,
心疼,2,N,,
心急如焚,3,N,,
心急如火,3,N,,
心急火燎,3,N,,
心急,3,N,,
心花怒放,1,P,,
心事重重,2,N,,
心灰意懶,2,N,,
心灰意冷,2,N,,
心有餘悸,3,N,,
心有餘而力不足,,N,,
心安理得,1,P,,
心安,1,P,,
心如死灰,2,N,,
心如刀割,2,N,,
心甘情願,1,P,,
心平氣和,1,P,,
心切,3,N,,
心中無數,5,0,,
心中有鬼,3,N,,
引誘,,N,,
引咎自責,2,N,,
引咎,2,N,,
引人注目,,0,,
幻想,,P,,
巴望,1,P,,
巴不得,1,P,,
巴,,0,,
少安毋躁,4,N,,
夭壽,4,N,,
太息,,N,,
天賦,1,P,,
天資,1,P,,
天堂,1,P,,
天怒人怨,4,N,,
天知道,5,0,,
天才,1,P,,
反駁,4,N,,
反對,4,N,,
反感,4,N,,
反派,4,N,,
反叛,4,N,,
反抗,4,N,,
反目為仇,4,N,,
反目成仇,4,N,,
友愛,1,P,,
友,,0,,
及時,,P,,
厄運,4,N,,
勾引,,N,,
切齒痛恨,4,N,,
切膚之痛,4,N,,
切盼,1,P,,
分擔,,P,,
分憂,,0,,
分裂,,N,,
分散,,N,,
分紅,,P,,
分歧,,N,,
分享,1,P,,
分手,4,N,,
分心,,N,,
凶,4,N,,
六神無主,,N,,
公憤,4,N,,
公車,4,N,,
公主病,4,N,,
內疚,2,N,,
內外交困,,N,,
元兇,,N,,
今是昨非,,N,,
仇敵,4,N,,
仇視,4,N,,
仇殺,4,N,,
仇恨,4,N,,
仇人,4,N,,
仇,4,N,,
仄,,N,,
仁慈,1,P,,
仁義,1,P,,
仁愛,1,P,,
仁術,1,P,,
仁心,1,P,,
五內俱裂,,N,,
中斷,,0,,
中意,1,P,,
不讚一詞,4,N,,
不顧一切,,P,,
不願,4,N,,
不聲不響,,0,,
不齒,4,N,,
不適,,N,,
不盡人意,4,N,,
不滿,4,N,,
不摸頭,5,0,,
不過意,2,N,,
不詳,5,0,,
不解,5,0,,
不當,,N,,
不慌不亂,,P,,
不慌不忙,,P,,
不愧為,,P,,
不愧,,P,,
不順,,N,,
不寒而慄,3,N,,
不堪回首,2,N,,
不符,,N,,
不祥,,N,,
不爽,4,N,,
不清楚,5,0,,
不捨,2,N,,
不得要領,,N,,
不得已,,N,,
不動聲色,,0,,
不做聲,,0,,
不悅,4,N,,
不屑一顧,,N,,
不屑,4,N,,
不容忽視,,0,,
不害羞,,0,,
不哼不哈,,0,,
不准,,N,,
不貞,,N,,
不要臉,4,N,,
不耐煩,4,N,,
不耐,4,N,,
不甚了了,,N,,
不為人知,,0,,
不是味兒,4,N,,
不便,,N,,
不知羞恥,,N,,
不知所終,,N,,
不知所措,3,N,,
不知人間有羞恥事,,N,,
不服,,N,,
不明不白,5,N,,
不拘小節,,0,,
不幸,2,N,,
不宜,,N,,
不定,,N,,
不足,,N,,
不言不語,,N,,
不快,4,N,,
不忍,2,N,,
不利,,N,,
不安,3,N,,
不好過,,N,,
不好意思,2,N,,
不在乎,,N,,
不名譽,,N,,
不共戴天,4,N,,
不亦樂乎,1,P,,
不甘落後,,N,,
不甘心,4,N,,
不甘,4,N,,
不平則鳴,,N,,
不平,4,N,,
不可終日,,N,,
不仁,,N,,
不上不下,,N,,
才智,1,P,,
才能,1,P,,
山窮水盡,,N,,
小覷,4,N,,
小視,,N,,
小偷,4,N,,
小氣鬼,4,N,,
小氣,4,N,,
小看,4,N,,
小心,,0,,
寸土不讓,,N,,
大驚失色,3,N,,
大驚小怪,3,N,,
大題小做,,N,,
大膽,,0,,
大煞風景,4,N,,
大發雷霆,4,N,,
大惑不解,5,0,,
大悲大喜,,C,,
大喜過望,1,P,,
大笑不止,1,P,,
大笑,1,P,,
大呼小叫,,N,,
大旱望雲霓,,0,,
大快人心,1,P,,
大吃一驚,5,0,,
大失所望,2,N,,
大方,,P,,
口吃,,0,,
亡魂喪膽,3,N,,
么壽,4,N,,
下流,4,N,,
下定決心,,N,,
上當,,N,,
上級,,0,,
上氣不接下氣,,N,,
上火,4,N,,
三緘其口,,N,,
三洨,4,N,,
三小,4,N,,
三八,4,N,,
又驚又喜,"1,5",P,,
力盡筋疲,,N,,
力不勝任,,N,,
力不從心,,N,,
八卦,,N,,
入魔,,N,,
入迷,1,P,,
入神,1,P,,
人琴俱亡,,N,,
人渣,4,N,,
人困馬乏,,N,,
人心惶惶,3,N,,
人亡物在,,N,,
了不起,,P,,
九泉瞑目,,0,,
七竅生煙,4,N,,
七上八下,3,N,,
一籌莫展,,N,,
一聲不響,,0,,
一葉障目,5,0,,
一無所知,5,0,,
一無所有,,0,,
一瓶子不滿,,N,,
一笑置之,1,P,,
一氣之下,4,N,,
一怒之下,4,N,,
一往情深,1,P,,
一言不發,,N,,
一見鍾情,1,P,,
一見傾心,1,P,,
一失足成千古恨,2,N,,
一日三秋,2,N,,
