lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
頑強,,,,,,,,,,,,,,,,,,,,,
頑固,,,,,,,,,,,,,,,,,,,,,
隔離,"安全,用來保護大家,寂寞,殘酷,可能,有問題,不合理,孤單,孤單的,必要,病房",,,,,,,,出國,,,,,,,,,,,,
違規,,,,,,繳費單,,,"被開罰單,警察攔",,,,,,,,,,,"被開罰單,罰單,車禍,受罰,闖紅燈,吊銷駕照,出車禍,受傷,繳罰單,被警察開單,轉學,交通事故,賠罪,車毀人亡",
違背,,,,,,,,,,,,,,,,,,,,,
違約,,,,,,,,,,,,,,,,,,,"失信的行為,習慣,行為,沒有信用,無信用,欺騙,毛病",,
違紀,,,,,,,,,,,,,,,,,,,,,
違法,,,,,,,,,警察攔,,,,,,,,,,,"不知道要做,罪惡感",
違抗,,,,,,,,,,,,,,,,,,,,,
違犯,,,,,,,,,,,,,,,,,,,,,
違心,,,,,,,,,,,,,,,,,,,,,
道,,,,,,,,,,,,,,,,,,,,,
遑,,,,,,,,,,,,,,,,,,,,,
過錯,,,,,,,,,,,,,,,,,,,,,
過慮,,,,,,,,,,,,,,,,,,,,,
過意不去,,,,,,,,,,,,,,,,,,,,,
過失,,,,,,,,,,,,,,,,,,,,,
過分,,,,,,,,,,,,,,,,,,,,,
遊戲,,,,,,,,,,,,,,,,,"電腦,手機,電腦裡,網路,手機裡,網路上,快樂,網咖,冒險,刺激,樂趣,放鬆",,"休閒,快樂,樂趣,玩樂","快樂,開心,沉迷,興奮,愉快,樂趣,歡樂,高興,上癮,沉淪,著迷,很開心,心情好",
遇難,,,,,,,,,,,,,,,,,,,,報警,
遇到,,,,,,,,,,,,,,,,,,,,,
遂意,,,,,,,,,,,,,,,,,,,,,
遂心如意,,,,,,,,,,,,,,,,,,,,,
遂心,,,,,,,,,,,,,,,,,,,,,
躲避,,,,,,,,,,,,,,,,,,,,逃過一劫,
賊,,,吃牢飯,,,警察,,,,,攻擊,,,,,,家,,,,
誠實,"應該,好,應該的,最棒,對","好朋友,女友,朋友,錢,好人,人氣,單純,做錯事,友誼,人愛",,,,,,,,,,,,,,,,,美德,"好運,信任,友誼,快樂,褒獎,讚美,信賴,嫉妒",
誠惶誠恐,,,,,,,,,,,,,,,,,,,,,
誠心,,,,,,,,,好人,,,,,,,求婚,,,,奇蹟,
誠,,,,,,,,,,,,,,,,,,,,,
誇大,,,,,,,,,,,,,,,,,,,,,
詼諧,,,,,,,,,,,,,,,,,,,,,
該死,,,,,,,,,被罵,,,,,,,,,,,,
詭計,,,,,,,,,,,,,,,,,,,,,
詫異,,,,,,,,,,,,,,,,,,,,,
詫,,,,,,,,,,,,,,,,,,,,,
解脫,,,,,,,,,分手,,,,,,,,"耶穌,五蘊皆空",,"爽快,感覺,放下",,
解氣,,,,,,,,,,,,,,,,,,,,,
解恨,,,,,,,,,,,,,,,,,,,,,
解決,,煩惱,,,,,,,,,,,,,,,,,,,
號啕大哭,,,,,,,,,,,,,,,,,,,,,
號哭,,,,,,,,,,,,,,,,,,,,,
號,,,,,,,,,,,,,,,,,,,,,
落實,,,,,,,,,,,,,,,,,,,,,
落寞,,,,,,,,,,,,,,,,,失業,,,心情不好,
落淚,,"被誤會,贏得比賽,思念",,,,,,,"擦乾,眼框紅,自然風乾,鼻酸,轉過臉",,,,"眼睛痛,難過,有沙子跑進去",,,,,,,,
落空,,,,,,,,,,,,,,,,,,,,,
落伍,,,,,,,,,,,,,,,,,,,,,
腦殘,"沒藥醫,要砍掉重練,可憐的,笨蛋","呆,笨","發呆,謗佛",,,,,,,,,"笨蛋,白目國中生,笨",,,,,大學生,,病,"災難,快樂,想打他,發笑,白目,廢文,悲傷,亂扣別人點數,眾人取笑,傷害,殘廢,言行智障,po笨版,去撞牆,揍你一拳,搞笑",
義憤填膺,,,,,,,,,,,,,,,,,,,,想打人,
義憤,,,,,,,,,,,,,,,,,,,,,
義,,,,,,,,,,,,,,,,,利益,,,,
羨慕,,,,,,,,,,,,,,,,,,,,很醜陋,
羨,,,,,,,,,,,,,,,,,,,,,
罪孽,,,,,,,,,,,,,,,,,,,,,
罪過,,,,,,,,,,,,,,,,,,,,,
罪惡,,,,,,,,,惡夢,,,"寬恕,心理,譴責,邪惡,恐懼,眼淚,良心,善良,心病,犯罪",,,,,"惡魔,搶奪",,,,
罪行,,,,,,,,,,,,,,,,,,,,,
罪名,,,,,,,,,,,,,,,,,,,,,
罪犯,,,"偷東西,懺悔,坐牢,後悔",,,"警察,他",,,,,,,,,,,"看守所,刑事局,監獄,台灣演藝圈,警察局",,"人格上的缺陷,惡行,台北看守所,罪惡,不好的行為",,
罪大惡極,,,,,,,,,,,,,,,,,,,,,
罪人,,,罪犯,,,"世人的體諒,死亡筆記本,受罪",,,,,,,,,,,,,,,
罪,,,,,,,,,,,,,,,,,"阿扁,犯人",,,,
經歷,,,,,,,,,,,,,,,,"面試,寫網誌",,,學習,成熟,
粲然一笑,,,,,,,,,,,,,,,,,,,,,
萬箭穿心,,,,,,,,,,,,,,,,,,,,,
萬歲,,,,,,,,,,,,,,,,,,,,,
萬般無奈,,,,,,,,,,,,,,,,,,,,,
萬念俱灰,,,,,,,,,,,,,,,,,,,,出家,
萬不得已,,,,,,,,,,,,,,,,,,,,,
禽獸,,,"欺負他人,傷害妻女,對他人犯罪,凌虐她人",,,,,,,,人肉搜尋,冷血,,,,,,,,,
禁忌,,,,,,,,,,,,,,,,,,,,厄運,
禁止,,,,,,,,,,,,,,,,,指標,,,,
睹物傷情,,,,,,,,,,,,,,,,,,,,,
睹物思人,,,,,,,,,,,,,,,,,,,,,
瘁,,,,,,,,,,,,,,,,,,,,,
痴狂,,,,,,,,,,,,,,,,,,,,,
痰喘,,,,,,,,,,,,,,,,,,,,,
當心,,,,,,,,,,,,,,,,,,,/c/en/software,,
當之無愧,,,,,,,,,,,,,,,,,,,,,
當,,,,,,,,,,,,,,,,,,,,,
煩躁,,,,,,,,,打人,,"打人,罵人,頹廢,吸毒,發脾氣",,,,,,,,情緒,"生氣,亂打電話,靜不下心,想打人,發瘋,不想做事,看書",
煩雜,,,,,,,,,,,,,,,,,,,,,
煩擾,,,,,,,,,,,,,,,,,,,,"想打人,想哭,想自閉,想睡覺",
煩憂,,,,,,,,,,,,,,,,,,,,,
煩瑣,,,,,,,,,,,,,,,,,,,,,
煩愁,,,,,,,,,,,,,,,,,,,,,
煩亂,,,,,,,,,,,,,,,,,,,,,
煩惱,自找,,,,,,,,頭痛,,"生氣,大叫,睡覺,喝酒,唱歌",,,,,,九霄雲,,憂鬱,"頭痛,失眠,吃不下飯,睡不著,疑惑,發瘋,覺得累",
煩悶,,"不開心,心情不好",,,,聽音樂,,,"唱歌,洗澡,睡覺,打東西,游泳,無聊",,"大叫,生氣,去海邊,去海邊玩,呼吸新鮮空氣,大哭,狂玩,出國,吃冰棒,找事情做,跑趴,喧鬧",,"不開心,很困擾",,,,,,情緒,"不爽,悲傷,生氣,鬱卒,失和,疲勞",
煩勞,,,,,,,,,,,,,,,,,,,,,
煩忙,,,,,,,,,,,,,,,,,,,,,
煩心,,,,,,,,,,,,,,,,,,,,,
煩人,,,,,,,,,媽媽,,,,,,,,,,,生氣,
煩,,"黃宗澤,上不了ptt",,,,,,,出去玩,,"大叫,生氣,哭,睡覺,怒",,,,,,,,,"生氣,討厭,想睡覺,睡覺,一直吃東西,發牢騷,頭暈",
煞風景,,,,,,,,,,,,,,,,,,,,,
滑稽,,,,,,,,,,,,,,,,,,,,,
溺愛,,,,,,,,,,,,,,,,,,,,,
溫馨,,回家,,,,,,,微笑,,,愛,,,,,"家,電影裡",,奇妙的感覺,"開心,快樂,溫暖,幸福",
溫暖,,睡覺,,,,,,,家人,,,,,,,,"家裡,家,朋友,你家,家庭,人群,回家,女友身上",,,愛,
溫情,,,,,,,,,,,,,,,,,"颱風過後,感謝",,,,
溫柔,,"女友,女朋友,女人,男朋友,人愛,人緣,愛情,人疼,漂亮的老婆,閃光,很正的女朋友,更多的美女",,,,,,,,,,,,,,,,,"侯佩岑,表現,魅力,特質","女人,愛你,好人緣,讓你自由",
溫和,,,,,,,,,,,,,,,,,,,,,
毀壞,,,,,,,,,,,,,,,,,,,,,
毀謗,,,,,,,,,,,,,,,,,,,,想告發文者,
毀滅,,,,,,,,,世界末日要,,,,,,,,,,,"無望,恐懼,世界末日",
毀損,,,,,,,,,,,,,,,,,,,,被告,
毀傷,,,,,,,,,,,,,,,,,,,,,
毀棄,,,,,,,,,,,,,,,,,,,,,
毀敗,,,,,,,,,,,,,,,,,,,,,
毀掉,,,,,,,,,,,,,,,,,,,,,
極樂,,,,,,,,,,,,,,,,,,,,,
極端,,,,,,,,,,,,,,,,,,,,,
極好,,,,,,,,,,,,,,,,,,,,,
業障,,,,,,,,,,,,,,,,,,,,,
會厭,,,,,,,,,,,,,,,,,,,,,
暗喜,,,,,,,,,,,,,,,,,,,,,
暗送秋波,,,,,,,,,,,,,,,,,,,,,
暗笑,,,,,,,,,,,,,,,,,,,,,
暖和,,,,,,,,,,,,,,,,,,,,想睡覺,
敬意,,,,,,,,,,,,,,,,,,,,,
敬重,,,,,,,,,,,,,,,,,,,,,
敬畏,,,,,,,,,,,,,,,,,,,,,
敬而遠之,,,,,,,,,,,,,,,,,,,,,
搖頭擺尾,,,,,,,,,,,,,,,,,,,,,
搖頭晃腦,,跳舞,,,,,,,,,,,,,,聽音樂,,,,,
搔頭弄姿,,,,,,,,,,,,,,,,,,,,,
搏鬥,,,,,,,,,,,,,,,,,,,,,
損壞,,,,,,,,,,,,,,,,,,,,,
損傷,,,,,,,,,,,,,,,,,,,,,
損害,,,,,,,,,,,,,,,,,,,,,
損失,,,,,,,,,,,,,,,,,賭博,,,"悲傷,不悅",
損人,,冷場,,,,,,,,,,,,,,,,,,,
慍,,,,,,,,,,,,,,,,,,,,,
慌裡慌張,,,,,,,,,,,,,,,,,,,,,
慌慌張張,,,,,,,,,,,,,,,,,,,,,
慌亂,,,,,,,,,,,,,,,,,,,,手足無措,
慌張,"正常,一種情緒來,恐怖,無可避免,需要控制,不好,不安,過於緊張,可怕,容易壞事,每人都經歷過,會感染,東張西望,著急,不成熟,冷汗直流","著急,闖紅燈",冒失,,,,,,"哭,快走,逃跑,大笑,躲起來,難過",,,,,,,,,,,"不知所措,害怕,想哭,失眠,逃跑",
慌忙,,,,,,,,,,,,,,,,,,,,語無倫次,
慌手慌腳,,,,,,,,,,,,,,,,,,,,,
慌,,,,,,,,,,,,,,,,,,,,,
愷,,,,,,,,,,,,,,,,,,,,,
愧對,,,,,,,,,,,,,,,,,,,,,
愧赧,,,,,,,,,,,,,,,,,,,,,
愧恨,,,,,,,,,,,,,,,,,,,,,
愧疚,,,,,,,,,,,,,,,,,,,,,
愧怍,,,,,,,,,,,,,,,,,,,,,
愧,,,,,,,,,,,,,,,,,,,,,
感觸,,,,,,,,,,,,,,,,,,,,,
感覺到,,,,,,,,,,,,,,,,,,,,,
感覺,"對,錯,不可形容的,可形容的,美好",,,,,,,,,,,,直覺,,,,,,病,喜歡,
感懷,,,,,,,,,,,,,,,,,,,,,
感謝,,,,,,,,,卡片,,"祝福別人,祝福,心懷感激,送禮物",,,,,,,,,"愛,敬禮,報恩,送禮物,握手,知足",
感激,,,,,,,,,,,,,,,,,感謝,,"感謝,感恩,心情,心理作用,行為",謝謝,
感歎,,,,,,,,,,,,,,,,,,,,,
感傷,,,,,,,,,"楓葉,哭泣,畢業",,"哭,流淚",,,,,,,,,想哭,
感慨萬端,,,,,,,,,,,,,,,,,,,,,
感慨萬分,,,,,,,,,,,,,,,,,,,,,
感慨萬千,,,,,,,,,,,,,,,,,,,,,
感慨不已,,,,,,,,,,,,,,,,,,,,,
感慨,,,,,,,,,,,,,,,,,,,,,
感情,,戀人,"變質,長久,開心",,,"第三者,欺騙,有利可圖,重建,永恆",,,情書,,,"心,狀態,信任,感覺",,人生,,,"悲痛,人",,"情感,情緒,感覺,糧食,良藥,人生經歷,無奈","紛爭,充裕,結婚",
感動,,,,,,,,,"哭,哭泣,流眼淚,流淚,哭了",,"哭,擁抱,大哭,流淚,哭泣",用心,,,,,心,,感覺,"哭,想哭,流淚,哭泣,心動,哭了,笑,愛,擁抱,覺得想哭,快樂",
感恩,,"飯吃,快樂的心情","惜福,回報,心懷感激,快樂,有善報,幫助下一個人",,,,,,"祈禱,大哭,跳舞,感謝主,禱告,膜拜,到謝,卡片,心存感激,心情愉快",,說謝謝,,,,,,心中,,,"快樂,知足,覺得幸福,回饋社會,懂得報答,覺得值得,覺得快樂,常樂,很滿足",
感念,,,,,,,,,,,,,,,,,,,,,
感到,,,,,,,,,,,,,,,,,,,,,
感,,,,,,,,,,,,,,,,,,,,,
愛戀,,,,,,,,,紅色,,,,,,,,,,,心動,
愛護,,"寵物,寶貝",,,,,,,,,,,,,,,,,仁愛,,
愛憐,,,,,,,,,,,,,,,,,,,,,
愛慕,,,,,,,,,心碰碰跳,,,,,,,,,,,,
愛莫能助,,,,,,,,,,,,,,,,,,,,,
愛惜,,,,,,,,,,,,,,,,,,,,,
愛情,"盲目,甜蜜,幸福,苦,美好,快樂,酸酸甜甜",,,,,"背叛,第三者",,,,,,"愛,真心,信任,包容,關心,兩個人",幸福,"人生,生活",,,,,"毒藥,感情,感覺,病,情感,幸福,快樂,甜蜜,魔力","快樂,幸福,開心,傷心,盲目,婚姻,痛苦,悲傷,結婚,甜蜜,愛",
愛好,,,,,,,,,,,,,,,,,,,,,
愛心,紅色,好人緣,,,,,,,"老師,紅色",,,"愛,關心,關懷,感情,愛情,戀愛,親情","愛情,愛,善良",溫暖,,"養寵物,養小雞","人,你,老師,女朋友,紅十字會,主人,女友的媽媽,慈濟",,善良的,寵物,
愛不釋手,,,,,,,,,,,,,,,,,,,,,
愛上,,泡泡麵,,,,,,,,,,,"心被偷了,要戀愛了,心有所屬了",,,,,,,改變性向,
愛人,"快樂,痛苦的","被愛,人愛,快樂,愛,幸福,寂寞,得到愛",傾聽,,愛自己,"分手,幸福,背叛,親親",,,,,"牽手,上msn",,,,,睡覺,"窗,門,國,心,愛情",,"幸福,享受","幸福,快樂,開心,被愛,覺得開心,和平,感到幸福,戀愛,接吻,高興",
愛,,,,,,,,,,,,心,,,,,"心,家裡,心中,心裡,家",,"感覺,病,感情,付出,責任,情感,幸福,力量","快樂,幸福,開心,恨,在一起,結婚,包容,喜歡,付出,忍耐,關心,想念,交往,做愛,痛苦,體諒,滿足,難過,珍惜,我,關懷",
愚蠢,,,,,,,,,,,,,,,,,,,,"失敗,很呆,被推進火坑,生氣",
愚笨,,,,,,,,,,,,,,,,,,,,,
意欲,,,,,,,,,,,,,,,,,,,,,
意在,,,,,,,,,,,,,,,,,,,,,
愁腸百結,,,,,,,,,,,,,,,,,,,,,
愁悶,,,,,,,,,,,,,,,,,,,,,
愁悵,,,,,,,,,,,,,,,,,,,,,
愁苦,,,,,,,,,,,,,,,,,,,,,
愁眉鎖眼,,,,,,,,,,,,,,,,,,,,,
愁眉不展,,,,,,,,,,,,,"心情不好,憂鬱,有心事,鬱悶,需要關心",,,,,,,,
愁思,,,,,,,,,,,,,,,,,,,,,
愁,,,,,,,,,,,,,,,,,,,,,
惹惱,,,,,,,,,,,,,,,,,,,,,
惹氣,,,,,,,,,,,,,,,,,,,,,
想望,,,,,,,,,,,,,,,,,,,,,
想要,,"慾望,餓了,愛,是人,也想要,有錢,渴了",想做愛,,"有錢,準備好a騙,準備吉澤明步",,,,做夢,,交女朋友,,慾望,,,,,,,"去買,還要,要做愛做的事,愛,爭取,讀書,去做,想買,快樂,唱歌,渴望,努力,去寫,吃飯,實踐,打電腦,願意,行動,心動,認真努力",
想念,,"愛,寂寞,回憶,在乎,得不到",,,打電話,睡覺,,,"寫信,打電話,回憶,寫詩,哭,夢到情人,看照片",,打電話,思念,"思念,愛",愛情,,,,,"病,感覺,思念,情緒,想法,很玄的東西,情感","打電話,思念,難過,哭泣,懷念,寫信,哭,回憶,想哭,相思病,喜歡,心痛,幸福,流淚",
想不開,,"死亡,不快樂,憂鬱,有憂鬱症,想死,難過",,,,,,,睡覺,,"跳樓,喝",,,,,,,,,"跳樓,自殺,精神壓力大,想跳樓,死掉,生病,聞腋下,苦悶,死亡,悶悶不熱,想犯罪,虐待自己",
想,,智慧,,,,"我,公車,子宮,快樂,愛滋,鄉民的g奶,獎金,睡覺,括約肌痛,佰萬,喝茶,銅鑼燒,梅毒淋病,菜花",,,,,"冷靜,讀書,想男朋友,生活,吃東西,愛情",,,,,被女友甩,,,,"買東西,談戀愛,放閃光,唸書",
微醺,,,,,,,,,,,,,,,,,,,,,
微笑,,"開心,快樂,高興,朋友,快樂的心情,心情好,愉快",,,,,,,"嘴角上揚,開心,快樂",,,,"開心,心情好,禮貌,高興,快樂,幸福",,,"開心,快樂",,,"表情,禮貌,快樂,喜悅","快樂,好運,開心,好心情",
徬徨,,,,,,,,,無助,,,,,,,,,,,,
幹林老木,,,,,,,,,,,,,,,,,,,,,
幹你祖母,,,,,,,,,,,,,,,,,,,,,
幹你娘,,,,,,,,,,,,,,,,,,,,,
幹你老母,,,,,,,,,,,,,,,,,,,,,
幹他娘,,,,,,,,,,,,,,,,,,,,,
幹,,生氣,,,,,,,,,,,"震驚,不爽,生氣,髒話,憤怒",,,幹意滿點,,,,,
嫌憎,,,,,,,,,,,,,,,,,,,,,
嫌隙,,,,,,,,,,,,,,,,,,,,,
嫌疑,,,,,,,,,,,,,,,,,,,,,
嫌棄,,,,,,,,,,,,,,,,,,,,,
嫌惡,,,,,,,,,,,,,,,,,,,,,
嫌怨,,,,,,,,,,,,,,,,,,,,,
嫌,,,,,,,,,,,,,,,,,,,,,
嫉賢妒能,,,,,,,,,,,,,,,,,,,,,
嫉恨,,,,,,,,,,,,,,,,,,,,,
嫉妒,,,,,,,,,,,,,,,,,,,,,
嫉,,,,,,,,,,,,,,,,,,,,,
媽寶,,,"照顧寶貝,照顧小孩",,,媽媽,,,,,,,,,,,,,,,
媽的,,,,,,,,,,,,,,,,,,,,,
奧客,,,,,,,,,,,"心情不好,不爽,生氣,想趕他走",,,,,,快餐店,,,,
塌實,,,,,,,,,,,,,,,,,,,,,
嗲聲嗲氣,,,,,,,,,,,,,,,,,,,,,
嗤之以鼻,,,,,,,,,,,,,,,,,,,,放大絕,
嗟歎,,,,,,,,,,,,,,,,,,,,,
嗜睡,,,,,,,,,,,,,,,,,,,習慣,"危險,突然睡著,大便,肚子餓,要看醫生,要吃藥,生病",
嗜書如渴,,,,,,,,,,,,,,,,,,,,,
嗜,,,,,,,,,,,,,,,,,,,,,
嗚咽,,,,,,,,,,,,,,,,,,,,,
嗔怪,,,,,,,,,,,,,,,,,,,,,
嗔,,,,,,,,,,,,,,,,,,,,,
勢利,,,,,,,,,,,,,,,,,,,,眾叛親離,
勢成騎虎,,,,,,,,,,,,,,,,,,,,,
傾心,,,,,,,,,,,,,,,,,,,,,
傻樂,,,,,,,,,,,,,,,,,,,,,
傻眼,,,,,,跌倒,,,,,,,,,,,,,,"無言,點點點",
傻笑,,"開心,掩飾尷尬,裝可愛,睡覺,戀愛了,潭戀愛,瘋了,覺得開心,自言自語,靦腆",,,,,,,"抓頭,發呆",,,,喜歡對方,,,犯傻,,,,古意,
傻子,,,,,休息,"結婚,錢",,,笨蛋,,,,,,,,醫院,,病,,
傻,,,,,,,,,,,,,,,,犯傻,,,,"可愛,天真,無邪,笨,無知",
傷感,,,,,,,,,,,,,,,,,,,,,
傷勢,,,,,,,,,,,,,,,,,,,,,
傷痛,,,,,,,,,,,,,,,,,,,,,
傷殘,,,,,,,,,,,,,,,,,,,,,
傷悲,,,,,,,,,,,,,,,,,,,,,
傷逝,,,,,,,,,,,,,,,,,,,,,
傷痕,,,,,,,,,,,,,,,,,擦傷,,,,
傷神,,,,,,,,,,,,,,,,,,,,,
傷害,,,,,,,,,,,,,,,,,,,,仇恨,
傷心,,"難過,失戀,分手",哭,,,,,,"哭泣,哭,難過,哭哭,流眼淚,流淚",,"哭,哭泣,大哭",,,,,,,,,"難過,哭,哭泣,想哭,流淚,大哭,流眼淚,哭哭,喝酒",
傷天害理,,,,,,,,,,,,,,,,,,,,,
傷亡,,,,,,,,,,,,,,,,,,,,,
傷人,,,,,,"傷害自己,傷害人,人",,,,,,,,,,,,,,,
傷,,,,,,,,,,,,,,,,,,,,,
債務,,,,,,,,,,,,,,,,,債權人,,,,
傳情,,,,,,,,,,,,,,,,,,,,,
傲慢,,,,,,,,,,,,,,,,,政客,,,墮落,
催人奮進,,,,,,,,,,,,,,,,,,,,,
催人淚下,,,,,,,,,,,,,,,,,,,,,
亂,,,,,,,,,,,,,,,,,,,,髒亂,
黑下臉,,,,,,,,,,,,,,,,,,,,,
飲泣吞聲,,,,,,,,,,,,,,,,,,,,,
飲泣,,,,,,,,,,,,,,,,,,,,,
順利,,,,,,,,,上上籤,,,,,,,,愛情路,,,高興,
順心,,,,,,,,,健康,,,,,,,,,,,,
雅緻,,,,,,,,,,,,,,,,,,,,,
隆重,,,,,,,,,,,,,,,,,,,,,
陽光,熱,"陽光果肉,女朋友,正妹女朋友",,,,,,,黃色,,,紫外線,,地球,,,"海邊,陽台,五月天",,能量,"開心,光明,紫外線,生命,有活力,變黑,大菊花,救贖",
閒話,,,,,,,,,,,,,,,,,,,,,
閒散,,,,,,,,,,,,,,,,,,,,找事做,
開懷大笑,,"很開心,健康,開心",,,,,,,我肚子痛,,,,,,,,,,,肚子痛,
開懷,,,,,,,,,,,,,,,,,,,,,
開顏,,,,,,,,,,,,,,,,,,,,,
開朗,,"男朋友,朋友,人緣,快樂,資工彌般女友,友情,好人緣,健康的心態,正妹女友",,,,,,,太陽,,,,,,,,,,魔法,"朋友,快樂,幸福,好運",
開玩笑,,嬉鬧,,,"培養幽默感,觀察臉色,講的像真的,確定對方不會,不笑場,看氣氛,不破梗,看情況",,,,,,,,,,,,,,,"生氣,快樂",
開明,,,,,,,,,,,,,,,,,,,,,
開心,,中樂透,,,,,,,"大笑,唱歌,笑,微笑,跳舞",,唱歌,,,,,,,,,"大笑,笑,唱歌,快樂,跳舞,心情好",
鈍,,,,,,,,,,,,,,,,,,,,,
酣暢,,,,,,,,,,,,,,,,,,,,,
酣,,,,,,,,,,,,,,,,,你愛人的愛人,,,,
逸樂,,,,,,,,,,,,,,,,,,,,,
進退維谷,,,,,,,,,,,,,,,,,,,,,
進退兩難,,,,,,,,,,,,,,,,,,,,,
跛腳,,,,,,,,,,,,,,,,,,,,,
跛,,,,,,,,,,,,,,,,,,,,,
超雞掰,,,,,,,,,,,,,,,,,,,,,
超雞排,,,,,,,,,,,,,,,,,,,,,
費力,,,,,,,,,,,,,,,,,,,,,
貶抑,,,,,,,,,,,,,,,,,,,,,
詛咒,"可怕,惡毒",,"害人,得到報應,生病",,,,,,,,,,,,,恨意十足,,,,"不幸,下地獄,壞運,厄運",
詐騙,,賺錢,,,,,,,電話響,,被欺騙了,,,,,,網路,,,"金錢,坐牢",
訴苦,,"哭,發洩,心碎,生氣",,,,,,,,,,,,,,,,,,,
虛驚,,,,,,,,,,,,,,,,,,,,,
虛榮心,,,,,,,,,,,,,,,,,,,,浮誇,
虛榮,,,,,,,,,,,,,,,,,,,,援妹,
虛弱不堪,,,,,,,,,,,,,,,,,,,,,
虛弱,,,"全身無力,暈倒",,,吃補丸,,,體重變輕,,,,,,,,病態,,,"不高興,運動",
虛心,,,,,,神,,,,,,,,,,,,,,,
虛,,,,,,死神,,,,,,,,,,,,,,,
著魔,,,,,,,,,,,,,,,,,,,,,
著慌,,,,,,,,,,,,,,,,,,,,,
著迷,,,,,,,,,,,,,,,,,,,,,
著急,,大便,,,,,,,有人跺腳,,,,,,,,,,,瘋掉,
著忙,,,,,,,,,,,,,,,,,,,,,
萎靡不振,,,,,,,,,,,,,,,,,,,,,
菲薄,,,,,,,,,,,,,,,,,,,,,
華麗,,,,,,,,,,,,,,,,,,,,,
舒適,,,,,,,,,,,,,"舒服,爽快",,,,,,/c/en/populate_place,,
舒暢,,,,,,,,,,,,,,,,,需求,,,,
舒服,,,,,,,,,,,睡覺,,,,,,,,,"開心,睡著",
舒坦,,,,,,,,,,,,,,,,,,,,,
舒心,,,,,,,,,,,,,,,,,,,,,
脾氣,,,,,,,,,,,,,,,,,我,,,,
統治,,,,,,,,,,,,,,,,,,,,,
絕望,,"失望,生氣,難過",,,,,,,失戀,,跳樓,,"徹底失望,放棄了,無助",,,,,,,"自殺,哭泣,哭,希望,放棄想法,放棄",
絕倒,,,,,,,,,,,,,,,,,,,,,
絕妙,,,,,,,,,,,,,,,,,,,,,
絕口,,,,,,,,,,,,,,,,,,,,,
結巴,,"告白,騙人",,,,,,,,,,,,,,,,,病,覺得很慢,
結仇,,,,,,,,,,,,,,,,,,,,,
答應,,,,,,,,,,,,,,,,,,,,點頭,
等閒視之,,,,,,,,,,,,,,,,,,,,,
窘迫,,,,,,,,,,,,,,,,,,,,,
窘,,,,,,,,,,,,,,,,,,,,,
硬氣,,,,,,,,,,,,,,,,,,,,,
睏倦,,,,,,,,,,,,,,,,,,,,,
盜,,,,,,,,,,,,,,,,,,,,,
發蒙,,,,,,,,,,,,,,,,,,,,,
發楞,,"害怕,想睡了",,,,,,,,,,,,,,,,,,,
發楚,,,,,,,,,,,,,,,,,,,,,
發慌,,,,,,,,,,,,,,,,,,,,,
發愁,,,,,,,,,,,,,,,,,,,,,
發嗲,,,,,,,,,,,,,,,,,,,,,
發傻,,,,,,,,,,,,,,,,,,,,,
發脾氣,,"睡覺,肚子餓,不爽,覺得餓,吃飯,很累,覺得可惡,客戶很爛,情緒管理不佳,想發洩,發洩",,,,,,,,,,,,,,"生氣,東西被偷,睡不飽",陳幸妤,,任性,,
發愣,,,,,,,,,,,,,,,,,,,,,
發臭,,,,,,,,,,,,,,,,,,,"/c/en/music_single,/c/en/single",,
發笑,,,,,,,,,,,,,,,,,,,,,
發狠,,,,,,,,,,,,,,,,,,,,,
發急,,,,,,,,,,,,,,,,,,,,,
發怒,,"餓,生氣",,,,拆車,,,,,"打人,詛咒,揍人,大罵",,,,,,,,,"失敗,破壞,罵人",
發狂,,,,,,,,,,,,,,,,,,,,,
發牢騷,,怨懟,,,,,,,,,,,,,,,,,,,
發抖,,"冷,害怕,吃冰,考試",,,,,,,,,穿衣服,,,,,,,,,,
發呆,,"無聊,累,放空,休息,上課,睡覺,想事情,覺得累",,,放空,,,,"放空,無聊",,"睡覺,無聊",,,,,,,,,"無聊,放空,睡著,睡覺,流口水,快樂,想睡覺,變笨,浪費時間",
發作,,,,,,,,,發抖,,,,,,,,,,,,
發火,,"生氣,車子被偷,錢被偷走,打人,被劈腿,罵人",,,"冷靜,聽解釋,喝冰水,靜下心",,,,不想遷怒他人,,打人,,,,,,,,/c/en/administrative_region,"罵人,翻桌",
發毛,,,,,,,,,,,,,,,,,,,,,
發,,,,,,,,,,,,,,,,,,,,,
登徒子,,,,,,,,,,,,,,,,,,,,,
痛感,,,,,,,,,,,,,,,,,,,,,
痛痛快快,,,,,,,,,,,,,,,,,,,,,
痛惡,,,,,,,,,,,,,,,,,,,,,
痛惜,,,,,,,,,,,,,,,,,,,,,
痛悼,,,,,,,,,,,,,,,,,,,,,
痛悔,,,,,,,,,,,,,,,,,,,,,
痛哭流涕,,"分手,被發卡",,,,,,,,,"拿衛生紙,掩飾自己,不讓人看見",,,,,,,,,,
