lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
髒,,沒洗澡,,,,洗澡,,,虱子,,"洗澡,脫衣服",,,,,,,,,"洗澡,要洗澡,打掃,清理,洗蚤,垃圾積太多,跳蚤,掃地,整理",
驕傲,,,"惹人厭,自愎",,,,,,北一女,,,,"自信,討人厭",,,,蔡英文,,個性,"失敗,惹人厭,指高氣昂,殺機,令人討厭,眾怒,聽不進勸,盲目,知錯不改,一敗塗地,自我毀滅,孤單寂寞,惡運,故步自封,朋友變少,無可救藥之境,敵人,討人厭",
顫抖,,"上廁所,忍笑,氣到爆炸,緊張",,,,,,,,,,,,,,,,,,,
竊笑,,,,,,,,,,,,,,,,,,,,,
灑淚,,,,,,,,,,,,,,,,,,,,,
歡歡喜喜,,,,,,,,,,,,,,,,,,,,,
歡躍,,,,,,,,,,,,,,,,,,,,,
歡騰,,,,,,,,,,,,,,,,,,,,,
歡顏,,,,,,,,,,,,,,,,,,,,,
歡聲,,,,,,,,,,,,,,,,,,,,,
歡樂,,,,,,,,,笑,,,,,,,,"喜劇,遊樂園,線上遊戲",,"情緒,心情,感覺,快樂","快樂,大笑,高興,想笑,愛人",
歡聚,,,,,,,,,,,,,,,,,,,,,
歡暢,,,,,,,,,,,,,,,,,,,,,
歡愉,,,,,,,,,放鞭炮,,,,,,,,,,,跳躍,
歡喜,,,,,,,,,,,"健身,擁抱",,,,,,"嘉賓,愛情",,,"快樂,笑,願意付出,大笑",
歡送,,,,,,,,,,,,,,,,,,,,,
歡笑,,"中樂透,開心,快樂,愉悅,有約會,覺得快樂",,,,,,,,,,,,,,"爽,看電視","燦星旅遊網,蘭雨節",,"快樂,每天要做的,好事,活動","友情,快樂,美好的記憶",
歡悅,,,,,,,,,,,,,,,,,,,,,
歡娛,,,,,,,,,,,,,,,,,,,,,
歡眉喜眼,,,,,,,,,,,,,,,,,,,,,
歡迎,,,,,,,,,開門,,,,,,,,,,,,
歡欣鼓舞,,,,,,,,,,,,,,,,,,,,,
歡欣,,,,,,,,,,,,,,,,,,,,,
歡呼雀躍,,,,,,,,,,,,,,,,,,,,,
歡呼,,"開心,中樂透,快樂,高興,畢業,開心的,看到流星",,,,,,,,,,,,,,開心,,,,"打鼓,高舉雙手",
歡快,,,,,,,,,,,,,,,,,,,,,
歡心,,,,,,,,,,,,,,,/c/fr/-er,,,,,,
歡天喜地,,,,,,,,,,,,,,,,,,,,,
歡,,,,,,,,,,,,,,,,,,,,,
黯然銷魂,,,,,,,,,,,,,,,,,,,,,
黯然神傷,,,,,,,,,,,,,,,,,,,,,
黯然,,,,,,,,,,,,,,,,,,,,,
顧慮重重,,,,,,,,,,,,,,,,,,,,,
顧慮,,,,,,,,,,,,,,,,,,,,,
顧盼自雄,,,,,,,,,,,,,,,,,,,,,"/c/de/rechenschaftsbericht,/c/de/rechenschaftsbericht"
顧念,,,,,,,,,,/c/lv/ģ,,,,,,,,,,,
躊躇滿志,,,,,,,,,,,,,,,,,,,,,
躊躇,,,"不知所措,猶豫,停滯,浪費機會,徬徨,裹足不前,錯失良機,浪費光陰,無所適從",,,,,,,,,,,,,,蹣跚,,,,
護,,,,,,,,,,,,,,,,,,,,,
譴責,,,,,,,,,,,,,,,,,,,,,
蠢,,,,,,,,,"蟲,被罵",,,,,,,,,,,"覺得蠢,笨",
纏綿悱惻,,,,,,,,,,,,,,,,,,,,,
纏綿,,,,,,,,,,,,,,,,,,,,懷孕,
纏訟,,,,,,,,,,,,,,,,,,,/c/en/album,,
纏身,,,,,,,,,,,,,,,,,,,,,
纍纍,,,,,,,,,,,,,,,,,,,,,
爛貨,,,,,,,,,,,,,,,,,,,,,
爛,,,,,,,,,,,超車,,,,,,,,,,
攛,,,,,,,,,,,,,,,,,,,,,
懾,,,,,,,,,,,,,,,,,,,,,
懼怕,,烙跑,,,,,,,"發抖,噩夢",,,恐懼,,,,,,,,冒冷汗,
懼,,,,,,,,,,,,,,,,,,,,,
騷擾,,,,,,,,,,,,,,,,,,,,"罰錢,坐牢",
騷貨,,,,,,,,,,,,,,,,,,,,,
騷動,,,,,,,,,,,,,,,,,,,,,
騷,,,,,,泡夜店,,,,,,,,,,,,,,蕩婦傅云,
饒恕,,,,,,,,,,,,,,,,,,,,,
飄飄然,,,,,,,,,,,,,,,,,,,,,
飄飄欲仙,,,,,,,,,,,,,,,,,,,,,
釋然,,,,,,,,,,,,,,,,,,,,,
躁鬱,,,,,,,,,,,,,,,,,,,精神病,,
躁急,,,,,,,,,,,,,,,,,,,,,
贏錢,,"打麻將,打牌,賭博,踢足球,買股票,輸錢",,,,,,,牌打到一條龍,,"買好車,亂花錢,賭更多,大吃大喝,買奢侈品",,好運,,,,,,,"開心,快樂,興奮,爽,買東西,高興",
贏得,,,,,,,,,,,,,,,,,,,,,
贏取,,,,,,,,,,,,,,,,,,,,,
贏,,"玩遊戲,猜拳,打電動,強,打世紀帝國二,勇,打比賽,打球,玩,洗牌,打手球,跟男友吵架",,,,,,,,,,,,,,,猜拳,,,"快樂,開心,想歡呼",
警覺,,,,,,,,,,,,,,,,,,,,,
警醒,,,,,,,,,,,,,,,,,,,,,
警惕,,,,,,,,,,,,,,,,,,,,,
觸景傷情,,,,,,,,,,,,,,,,,,,,,
觸景生情,,,,,,,,,,,,,,,,,,,,,
觸動,,,,,,,,,,,,,,,,,,,,,
觸怒,,,,,,,,,,,,,,,,,,,,,
觸目驚心,,,,,,,,,,,,,,,,,,,,,
觸,,,,,,,,,,,,,,,,,,,,,
覺著,,,,,,,,,,,,,,,,,,,,,
覺得,,,,,,,,,,,,,,,,,,,,,
覺,,"傷心時,睡覺,疲倦",,,,,,,,,,,,,,,,,,,
耀眼,,,,,,,,,,,,,,,,,,,,,
競爭,,,,,,,,,"聽奧,運動",,唸書,,,,,,工作,,"好事,比賽,競賽,樂趣,青春","奮鬥,學習,挫折",
犧牲,"無謂,值得,高尚,高貴","感動,成全別人,勇敢,愛,幸福",,,,,,,,,,,,,,,,,境界,"埋怨,成全,成就,悲劇,遺憾",
懺悔,,"做錯事,長慧根,不乖,痛苦,長大了",,,,,,,,,,,,,,,,,,,
懸念,,,,,,,,,,,,,,,,,,,,,
懸心吊膽,,,,,,,,,,,,,,,,,,,,,
寶貴,,,,,,,,,,,,,,,,,,,,,
寶貝,,呵護,"感到幸福,聊天,吃飯,看電視",,,"睡覺,變胖,蟑螂,壁虎,阿飄",,,"我,小寵物",,,,,,,,"心,懷裡,爸媽,心裡,懷",,動物,"想念,愛",
嚴厲,,,,,,,,,太妍,,,,,,,,,,,,
嚴酷,,,,,,,,,,,,,,,,,,,,,
嚴格,,,,,,,,,,,,,,,,,,,,,
嚴峻,,,,,,,,,,,,,,,,,,,,,
嚴重,,,,,,,,,,,,,,,,,,,,,
騙,,"錢,吃牢飯",,,,,,,,,,,,,,,,,,,
顛狂,,,,,,,,,,,,,,,,,,,,,
願意,,,,,,,,,,,,,,,,,,,,"值得,答應,愛你",
願,,,,,,,,,,,,,,,,,,,,,
霧裡看花,,,,,,,,,,,,,,,,,,,,,
難聽,,,,,,,,,,,,,,,,,,,,,
難題,,,,,,,,,,,皺眉頭,,,,,,"答案,無解,進步,真正的朋友,功課,知識,磨練,希望,快樂,非正規解",,,納悶,
難熬,,,,,,,,,,,,,,,,,,,,,
難聞,,,,,,,,,,,,,,,,,,,,,
難過,,"失戀,被罵",,,,,,,"哭,哭泣,大哭,流淚,睡覺,唱歌",,"哭,哭泣",,,,,,,,,"哭,哭泣,想哭,傷心,流淚,悲傷,大哭,哭哭,大叫",
難堪,,,,,,,,,,,,,,,,,,,,冒冷汗,
難割難捨,,,,,,,,,,,,,,,,,,,,,
難捨難離,,,,,,,,,,,,,,,,,,,,,
難看,,,,,,,,,,,,,,,,,,,,打哈欠,
難為情,,,,,,,,,,,鑽到洞裡,,,,,,,,,,
難受,,忍住,,,,,,,,,,,,,,,,,,痛,
難吃,,,,,,,,,小吃店倒了,,,,,,,,,,,"想去別家餐廳,伸舌頭",
難以置信,,,,,,,,,,,,,,,,,,,,,
難以名狀,,,,,,,,,,,,,,,,,,,,,
關懷,"真心,無謂施","良心,愛情,親情,家人",,,,,,,家人,,珍惜生命,,,,,悲傷,,,"付出,地標","感動,友情,愛情,錢,親情,快樂,人際關係",
關心,重要,"朋友,生病,女友,好朋友",,,,,,,"凌晨的電話,電話,想念",,,,,,,抱抱,"愛情,證嚴法師,家庭",,"快樂,仁愛,愛的表現","愛,感動,朋友,溫暖,幸福,感謝,好事",
辭職,"悲憤的,無奈的,生氣的","被老闆罵,不開心,不想幹了,離職,自尊,有更好工作",,,,"換工作,在家,生孩子,休息,另謀高就",,,,,,,,,,,,,,"沒薪水,幸福,悲劇,找工作,失業,小孩沒飯吃,糾紛,走路,壞情緒,沒收入,老婆沒飯吃",
贊同,,,,,,,,,,,,,,,,,,,,,
譏,,,,,,,,,,,,,,,,,,,,,
穩健,,,,,,,,,,,,,,,,,,,,,
穩如泰山,,,,,,,,,,,,,,,,,,,,,
禱,,,,,,,,,,,,,,,,,,,,,
礙難,,,,,,,,,,,,,,,,,,,,,
癡漢,,,,,,女優,,,,,,,,,,,,,,尖叫,
癡迷,,,,,,,,,,,,,,,,,,,,,
癡心妄想,,,,,,,,,,,,,,,,,,,,,
癡心,,,,,,,,,,,,,,,,,,,,,
癡,,,,,,,,,,,,,,,,,,,人性,"呆,手腳顫抖,社會問題,嗔,智能退化",
爆發,,,,,,,,,,,,,,,,,,,,跳得遠,
懷戀,,,,,,,,,,,,,,,,,,,,,
懷疑,,,探索,,,,,,,,,,"不信任,有問題",,,,,,猜忌,"思考,外遇",
